"季度","縣市","地區","品項定位","款式","銷售總金額"
"第三季","澎湖縣","一般縣市","特定性別","自動扣",558.6
"第三季","澎湖縣","一般縣市","特定性別","針棒",139.125
"第三季","花蓮縣","一般縣市","中性","一般款",975.45
"第三季","花蓮縣","一般縣市","中性","自動扣",1466.325
"第三季","花蓮縣","一般縣市","中性","針棒",1462.65
"第三季","花蓮縣","一般縣市","特定性別","一般款",1463.175
"第三季","花蓮縣","一般縣市","特定性別","針棒",1669.5
"第三季","苗栗縣","一般縣市","中性","一般款",1949.325
"第三季","苗栗縣","一般縣市","中性","自動扣",1536.15
"第三季","苗栗縣","一般縣市","中性","針棒",2716.35
"第三季","苗栗縣","一般縣市","特定性別","一般款",1952.475
"第三季","苗栗縣","一般縣市","特定性別","自動扣",1117.2
"第三季","苗栗縣","一般縣市","特定性別","針棒",2086.875
"第三季","金門縣","一般縣市","中性","一般款",627.375
"第三季","金門縣","一般縣市","中性","自動扣",349.125
"第三季","金門縣","一般縣市","中性","針棒",417.9
"第三季","金門縣","一般縣市","特定性別","一般款",765.975
"第三季","金門縣","一般縣市","特定性別","自動扣",558.6
"第三季","金門縣","一般縣市","特定性別","針棒",695.625
"第三季","雲林縣","一般縣市","中性","一般款",2440.2
"第三季","雲林縣","一般縣市","中性","自動扣",1815.45
"第三季","雲林縣","一般縣市","中性","針棒",1253.7
"第三季","雲林縣","一般縣市","特定性別","一般款",1531.95
"第三季","雲林縣","一般縣市","特定性別","自動扣",1675.8
"第三季","雲林縣","一般縣市","特定性別","針棒",1530.375
"第三季","高雄市","直轄市","中性","一般款",11567.85
"第三季","高雄市","直轄市","中性","自動扣",8379
"第三季","高雄市","直轄市","中性","針棒",11074.35
"第三季","高雄市","直轄市","特定性別","一般款",9126.6
"第三季","高雄市","直轄市","特定性別","自動扣",6144.6
"第三季","高雄市","直轄市","特定性別","針棒",10434.375
"第二季","南投縣","一般縣市","中性","一般款",1323.525
"第二季","南投縣","一般縣市","中性","自動扣",628.425
"第二季","南投縣","一般縣市","中性","針棒",1253.7
"第二季","南投縣","一般縣市","特定性別","一般款",765.975
"第二季","南投縣","一般縣市","特定性別","自動扣",558.6
"第二季","南投縣","一般縣市","特定性別","針棒",1252.125
"第二季","台中市","直轄市","中性","一般款",9894.675
"第二季","台中市","直轄市","中性","自動扣",7610.925
"第二季","台中市","直轄市","中性","針棒",15253.35
"第二季","台中市","直轄市","特定性別","一般款",8983.8
"第二季","台中市","直轄市","特定性別","自動扣",6703.2
"第二季","台中市","直轄市","特定性別","針棒",10712.625
"第二季","台北市","直轄市","中性","一般款",8783.775
"第二季","台北市","直轄市","中性","自動扣",4678.275
"第二季","台北市","直轄市","中性","針棒",7104.3
"第二季","台北市","直轄市","特定性別","一般款",6060.6
"第二季","台北市","直轄市","特定性別","自動扣",4189.5
"第二季","台北市","直轄市","特定性別","針棒",7512.75
"第二季","台南市","直轄市","中性","一般款",7317.975
"第二季","台南市","直轄市","中性","自動扣",4049.85
"第二季","台南市","直轄市","中性","針棒",5850.6
"第二季","台南市","直轄市","特定性別","一般款",5363.4
"第二季","台南市","直轄市","特定性別","自動扣",4748.1
"第二季","台南市","直轄市","特定性別","針棒",6956.25
"第二季","台東縣","一般縣市","中性","一般款",417.9
"第二季","台東縣","一般縣市","中性","自動扣",558.6
"第二季","台東縣","一般縣市","特定性別","一般款",697.725
"第二季","台東縣","一般縣市","特定性別","自動扣",279.3
"第二季","台東縣","一般縣市","特定性別","針棒",278.25
"第二季","嘉義縣","一般縣市","中性","一般款",1184.925
"第二季","嘉義縣","一般縣市","中性","自動扣",558.6
"第二季","嘉義縣","一般縣市","中性","針棒",1044.75
"第二季","嘉義縣","一般縣市","特定性別","一般款",974.4
"第二季","嘉義縣","一般縣市","特定性別","自動扣",558.6
"第二季","嘉義縣","一般縣市","特定性別","針棒",1947.75
"第二季","基隆市","一般縣市","中性","一般款",348.075
"第二季","基隆市","一般縣市","中性","自動扣",837.9
"第二季","基隆市","一般縣市","中性","針棒",626.85
"第二季","基隆市","一般縣市","特定性別","一般款",905.1
"第二季","基隆市","一般縣市","特定性別","自動扣",558.6
"第二季","基隆市","一般縣市","特定性別","針棒",417.375
"第二季","宜蘭縣","一般縣市","中性","一般款",1114.575
"第二季","宜蘭縣","一般縣市","中性","自動扣",1117.2
"第二季","宜蘭縣","一般縣市","中性","針棒",1880.55
"第二季","宜蘭縣","一般縣市","特定性別","一般款",766.5
"第二季","宜蘭縣","一般縣市","特定性別","自動扣",558.6
"第二季","宜蘭縣","一般縣市","特定性別","針棒",1947.75
"第二季","屏東縣","一般縣市","中性","一般款",1184.925
"第二季","屏東縣","一般縣市","中性","自動扣",907.725
"第二季","屏東縣","一般縣市","中性","針棒",2298.45
"第二季","屏東縣","一般縣市","特定性別","一般款",1391.775
"第二季","屏東縣","一般縣市","特定性別","自動扣",1396.5
"第二季","屏東縣","一般縣市","特定性別","針棒",1669.5
"第二季","彰化縣","一般縣市","中性","一般款",2439.15
"第二季","彰化縣","一般縣市","中性","自動扣",2164.575
"第二季","彰化縣","一般縣市","中性","針棒",3343.2
"第二季","彰化縣","一般縣市","特定性別","一般款",3133.725
"第二季","彰化縣","一般縣市","特定性別","自動扣",1675.8
"第二季","彰化縣","一般縣市","特定性別","針棒",3060.75
"第二季","新北市","直轄市","中性","一般款",10104.675
"第二季","新北市","直轄市","中性","自動扣",5725.65
"第二季","新北市","直轄市","中性","針棒",11701.2
"第二季","新北市","直轄市","特定性別","一般款",7591.5
"第二季","新北市","直轄市","特定性別","自動扣",4189.5
"第二季","新北市","直轄市","特定性別","針棒",10851.75
"第二季","新竹市","一般縣市","中性","一般款",2717.925
"第二季","新竹市","一般縣市","中性","自動扣",2164.575
"第二季","新竹市","一般縣市","中性","針棒",1880.55
"第二季","新竹市","一般縣市","特定性別","一般款",2437.575
"第二季","新竹市","一般縣市","特定性別","自動扣",2234.4
"第二季","新竹市","一般縣市","特定性別","針棒",1947.75
"第二季","新竹縣","一般縣市","中性","一般款",3136.875
"第二季","新竹縣","一般縣市","中性","自動扣",2443.875
"第二季","新竹縣","一般縣市","中性","針棒",2507.4
"第二季","新竹縣","一般縣市","特定性別","一般款",2228.625
"第二季","新竹縣","一般縣市","特定性別","自動扣",1955.1
"第二季","新竹縣","一般縣市","特定性別","針棒",2643.375
"第二季","桃園市","直轄市","中性","一般款",8852.55
"第二季","桃園市","直轄市","中性","自動扣",6563.55
"第二季","桃園市","直轄市","中性","針棒",8358
"第二季","桃園市","直轄市","特定性別","一般款",4943.925
"第二季","桃園市","直轄市","特定性別","自動扣",5027.4
"第二季","桃園市","直轄市","特定性別","針棒",8486.625
"第二季","澎湖縣","一般縣市","中性","自動扣",279.3
"第二季","澎湖縣","一般縣市","中性","針棒",208.95
"第二季","澎湖縣","一般縣市","特定性別","一般款",697.725
"第二季","澎湖縣","一般縣市","特定性別","自動扣",558.6
"第二季","澎湖縣","一般縣市","特定性別","針棒",278.25
"第二季","花蓮縣","一般縣市","中性","一般款",1254.75
"第二季","花蓮縣","一般縣市","中性","自動扣",628.425
"第二季","花蓮縣","一般縣市","中性","針棒",626.85
"第二季","花蓮縣","一般縣市","特定性別","一般款",1114.05
"第二季","花蓮縣","一般縣市","特定性別","自動扣",1955.1
"第二季","花蓮縣","一般縣市","特定性別","針棒",973.875
"第二季","苗栗縣","一般縣市","中性","一般款",2230.2
"第二季","苗栗縣","一般縣市","中性","自動扣",2024.925
"第二季","苗栗縣","一般縣市","中性","針棒",2089.5
"第二季","苗栗縣","一般縣市","特定性別","一般款",1462.125
"第二季","苗栗縣","一般縣市","特定性別","自動扣",1117.2
"第二季","苗栗縣","一般縣市","特定性別","針棒",1669.5
"第二季","金門縣","一般縣市","中性","一般款",557.55
"第二季","金門縣","一般縣市","中性","針棒",208.95
"第二季","金門縣","一般縣市","特定性別","一般款",139.125
"第二季","金門縣","一般縣市","特定性別","針棒",278.25
"第二季","雲林縣","一般縣市","中性","一般款",2231.25
"第二季","雲林縣","一般縣市","中性","自動扣",1187.025
"第二季","雲林縣","一般縣市","中性","針棒",1253.7
